"x_4,25";"1"
"x_462,9284";"1"
"x_5,45";"1"
"x_8,93";"1"
"x_198,4278";"1"
"x_275,6056";"1"
"x_357,7538";"1"
"x_499,9659";"1"
"x_6,65";"1"
"x_98,2109";"1"
"x_363,7627";"1"
"x_457,9177";"1"
"x_7,77";"1"
"x_225,4597";"1"
"x_401,7784";"1"
"x_429,8392";"1"
"x_437,8794";"1"
"x_11,136";"1"
"x_15,140";"1"
"x_20,222";"1"
"x_42,767";"1"
"x_43,797";"1"
"x_44,827";"1"
"x_45,858";"1"
"x_46,859";"1"
"x_188,4124";"1"
"x_199,4297";"1"
"x_53,993";"1"
"x_58,1074";"1"
"x_80,1528";"1"
"x_83,1548";"1"
"x_84,1569";"1"
"x_101,2163";"1"
"x_289,6320";"1"
"x_114,2396";"1"
"x_276,6065";"1"
"x_297,6541";"1"
"x_322,7034";"1"
"x_333,7271";"1"
"x_125,2864";"1"
"x_130,2987";"1"
"x_146,3371";"1"
"x_163,3681";"1"
"x_173,3916";"1"
"x_183,4055";"1"
"x_217,4533";"1"
"x_171,3882";"1"
"x_179,4029";"1"
"x_306,6719";"1"
"x_321,7028";"1"
"x_182,4046";"1"
"x_184,4056";"1"
"x_325,7106";"1"
"x_230,4728";"1"
"x_261,5475";"1"
"x_266,5653";"1"
"x_277,6077";"1"
"x_294,6513";"1"
"x_345,7364";"1"
"x_364,7652";"1"
"x_386,7691";"1"
"x_398,7713";"1"
"x_422,8363";"1"
"x_424,8369";"1"
"x_470,9353";"1"
"x_490,9588";"1"
"x_494,9628";"1"
"y_4,29";"1"
"y_462,29";"1"
"y_5,29";"1"
"y_8,29";"1"
"y_198,29";"1"
"y_275,13";"1"
"y_357,13";"1"
"y_499,30";"1"
"y_6,13";"1"
"y_98,29";"1"
"y_363,23";"1"
"y_457,23";"1"
"y_7,3";"1"
"y_225,13";"1"
"y_401,32";"1"
"y_429,32";"1"
"y_437,32";"1"
"y_11,13";"1"
"y_15,32";"1"
"y_20,30";"1"
"y_42,33";"1"
"y_43,33";"1"
"y_44,33";"1"
"y_45,13";"1"
"y_46,20";"1"
"y_188,20";"1"
"y_199,29";"1"
"y_53,32";"1"
"y_58,30";"1"
"y_80,29";"1"
"y_83,13";"1"
